n_estimators,max_depth,r2_score
50,5,0.8210446770381012
50,10,0.8258478491173459
50,15,0.7977249509096344
100,5,0.8194319798693219
100,10,0.8275466393492401
100,15,0.8021418877392247
150,5,0.8202105115364458
150,10,0.8263694735600308
150,15,0.8009102343272823
