n_estimators,max_depth,r2_score
50,5,0.8642283000411807
50,10,0.9632045554193632
50,15,0.9768953927477921
100,5,0.865925289644321
100,10,0.9628842486554351
100,15,0.9802059666777679
150,5,0.865795569800764
150,10,0.9622095426998654
150,15,0.9798281455147362
