n_estimators,max_depth,r2_score
50,5,0.542007491690109
50,10,0.6207948359101546
50,15,0.5797725324604526
100,5,0.5404997831968753
100,10,0.6204149412055693
100,15,0.5813916753215916
150,5,0.5385605860797688
150,10,0.6181706855905127
150,15,0.5783843110581022
